Code,Offense,FMV,Class,Type,Attempted,Notes
'600(2)(A),Leaving scene of an incident without reporting-personal injury,M,B,Vehicle,F,
'VTL 1192.3,Driving while intoxicated.,NA,NA,Vehicle,F,
'VTL 600F,Leaving scene of an incident without reporting,M,B,Vehicle,F,
'C-COM,NA,NA,NA,Misc,F,
'195.05,Issuing a bad check,M,B,Misc,F,
'140.15,Criminal trespass in the second egree,M,A,Misc,F,
'220.09,Criminal possession of a controlled substance in the fourth degree,F,C,Narcotics,F,
'215.56,Bail jumping in the second degree,F,E,Misc,F,
'220.31,Criminal sale of a controlled substance in the fifth degree,F,D,Narcotics,F,
'168-T(2),Sex offender registry violations,F,E,Misc,F,
'170.40,Criminal possession of a forged instrument in the first degree,F,C,Misc,F,
'165.40,Criminal possession of stolen property in the fifth degree,M,A,Property,F,
'511(2)(A),Aggravated Unlicensed Operation in the second degree,M,NA,Vehicle,F,
'145.05,Criminal mischief in the third degree,F,E,Misc,F,
'165.52,Criminal possession of stolen property in the second degree,F,C,Property,F,
'1192(2)-A(B),"Operating a motor vehicle after having consumed alcohol, under the age of 21, per se",M,NA,Vehicle,F,
'215.15,Intimidating a victim or witness in the third degree,F,E,Misc,F,
'125.21,Aggravated manslaughter in the second degree,F,C,Violent,F,
'511(1)(A),Aggravated Unlicensed Operation in the third degree,M,NA,Vehicle,F,
'190.23,False personation,M,B,Misc,F,
'VOPB,NA,NA,NA,Misc,F,
'460.20,Enterprise corruption,F,B,Misc,F,
'170.25,Criminal possession of a forged instrument in the second degree,F,D,Misc,F,
'150.01,Arson in the fifth degree,M,A,Misc,F,
'110-170.25,Criminal possession of a forged instrument in the second degree,F,E,Misc,T,
'263.15,Promotoing a sexual performance by a child,F,D,Sex Offense,F,
'600(2),Leaving scene of an incident without reporting-personal injury,M,B,Vehicle,F,
'240.30,Aggravated harassment in the second degree,M,A,Misc,F,
'1192(2)-A,Aggravated driving while intoxicated.,NA,NA,Vehicle,F,
'158.05,Welfare fraud in the fifth degree,M,A,Misc,F,
'110-265.02,Criminal possession of a weapon in the third degree,F,D,Weapons,T,
'CIVIL,NA,NA,NA,Misc,F,
'120.60,Stalking in the first degree,F,D,Misc,F,
'120.06,Gang assault in the second degree,F,C,Violent,F,
'AC 666.66,NA,NA,NA,Misc,F,
'170.20,Criminal possession of a forged instrument in the third degree,M,A,Misc,F,
'220.50,Criminally using drug paraphernalia in the second degree,M,B,Narcotics,F,
'105.17,Conspiracy in the first degree,F,A-I,Misc,F,
'VTL 511,NA,NA,NA,Vehicle,F,
'165.05,Unauthorized use of a vehicle in the third degree,M,A,Vehicle,F,
'165.54,Criminal possession of stolen property in the first degree,F,B,Property,F,
'240.20,Disordely Conduct,V,NA,Misc,F,
'110-125.26,Aggravated murder,F,B,Violent,T,
'105.05,Conspiracy in the fifth degree,M,A,Misc,F,
'265.09,Criminal use of a firearm in the second degree,F,B,Weapons,F,
'110-150.15,Arson in the second degree,F,C,Misc,T,
'110-125.25H,Murder in the second degree,F,A-II,Violent,T,
'VTL 999.99,NA,NA,NA,Vehicle,F,
'125.25H,Murder in the second degree,F,A-I,Violent,F,
'110-120.11,Aggravated assault on a police officer or a peace officer,F,C,Violent,T,
'240.32,Aggravated harassment of an employee by an inmate,F,E,Misc,F,
'215.17,Intimidating a victim or witness in the first degree,F,B,Misc,F,
'170.15,Forgery in the first degree,F,C,Misc,F,
'490.20,Making a terroristic threat,F,D,Misc,F,
'145.20,Criminal tampering in the first degree,F,D,Misc,F,
'135.65,Coercion in the first degree,F,D,Misc,F,
'215.30,Misconduct by a juror in the first degree,M,A,Misc,F,
'VTL 000.00,NA,NA,NA,Vehicle,F,
'110-155.30,Grand Larceny in the fourth degree,M,A,Property,T,
'140.10,Criminal trespass in the third degree,M,B,Misc,F,
'155.42,Grand larceny in the first degree,F,B,Property,F,
'110-220.06,Criminal possession of a controlled substance in the fifth degree,F,E,Narcotics,T,
'121.11,Criminal obstruction of breathing or blood circulation,M,A,Violent,F,
'120.01,Reckless assault of a child by a child day care provider,F,E,Violent,F,
'VTL 600E,Leaving  scene  of  an  incident without reporting.,NA,NA,Vehicle,F,
'190.79,Identity theft in the second degree,F,E,Misc,F,
'120.50H,Stalking in the third degree,M,A,Misc,F,
'265.30,NA,NA,NA,Misc,F,
'175.35,Offering a false instrument for filing in the first degree,F,E,Misc,F,
'165.06,Unauthorized use of a vehicle in the second degree,F,E,Vehicle,F,
'120.15,Menacing in the third degree,M,B,Misc,F,
'120.11,Aggravated assuult upon a police officer or a peace officer,F,B,Violent,F,
'165.10,Auto stripping in the second degree,F,E,Vehicle,F,
'110-115.05,Criminal facilitation in the second degree,F,C,Misc,T,
'110-130.25,Rape in the third degree,F,E,Sex Offense,T,
'215.40,Tampering with physical evidence,F,E,Misc,F,
'110-220.41,Criminal sale of a controlled substance in the second degree,F,A-II,Narcotics,T,
'190.80,Identity theft in the first degree,F,D,Misc,F,
'VTL 1110,Obedience to and Required Traffic-Control Devices,NA,NA,Vehicle,F,
'OJCW,NA,NA,NA,Misc,F,
'170.30,Criminal possession of a forged instrument in the first degree,F,C,Misc,F,
'240.55,Falsely reporting an incident in the second degree,F,E,Misc,F,
'190.81,Unlawful possession of personal identification information in the third degree,M,A,Misc,F,
'120.13,Menancing in the first degree,F,E,Misc,F,
'221.40,Criminal sale of marihuana in the fourth degree,M,A,Narcotics,F,
'215.57,Bail jumping in the first degree,F,D,Misc,F,
'240.26,Harassment in the second degree,V,NA,Misc,F,
'110-120.00,Assault in the third degree,M,B,Violent,T,
'110-125.21,Aggravated manslaughter in the second degree,F,D,Violent,T,
'1192.3,Driving while in an intoxicated condition,M,NA,Vehicle,F,
'VTL 340,Surrender of license and evidences of registration,M,NA,Vehicle,F,
'120.20,Reckless endangerment in the second degree,M,A,Misc,F,
'263.10,Promoting an obscene sexual performance by a child,F,D,Sex Offense,F,
'110-120.03,Vehicular assault in the second degree,M,A,Vehicle,T,
'AC 888.88,NA,NA,NA,Misc,F,
'110-265.11,Criminal sale of a firearm in the third degree,F,E,Weapons,T,
'195.20,Defrauding the government,F,E,Misc,F,
'VTL 509,Driving without a license,NA,NA,Vehicle,F,
'VTL 511(3),Aggravared Unlicensed Operation in the First Degree,F,E,Vehicle,F,
'130.20,Sexual Misconduct,M,A,Sex Offense,F,
'265.10,"Manufacture, transport, disposition and defacement of weapons and dangerous instruments and appliances",NA,NA,Weapons,F,
'120.02,Reckless assault of a child,F,D,Violent,F,
'220.44,Criminal sale of a controlled substance in or near school grounds,F,B,Narcotics,F,
'CCW,NA,NA,NA,Misc,F,
'121.13,Strangulation in the first degree,F,C,Violent,F,
'511-A(3),Facilitating aggravated unlicensed operation,,,,,
"'  of a motor vehicle in the second degree """,M,NA,Misc,F,,
'110-10-131(I6),Unlawful possession of ammunition feeding device designed for use in a firearm,NA,NA,Misc,T,
'120.55,Stalking in the second degree,F,E,Misc,F,
'140.35,Possession of burglar's tools,M,A,Misc,F,
'110-130.20,Sexual misconduct,M,NA,Sex Offense,T,
'190.25,Criminal impersonation in the second degree,M,A,Misc,F,
'10-131(B),Air pistols and air rifles; selling or possessing.,NA,NA,Misc,F,
'245,Public lewdness,M,B,Misc,F,
'190.05,Issuing a bad check,M,B,Misc,F,
'1192.4,Driving while ability impaired by drugs,M,NA,Vehicle,F,
'140.05,Trespass,V,NA,Misc,F,
'110-220.21,Criminal possession of a controlled substance in the first degree,F,A-I,Narcotics,T,
'130.55,Sexual abuse in the third degree,M,B,Sex Offense,F,
'110-140.30,Burglary in the first degree,F,B,Property,T,
'215.12,Tampering with a witness in the second degree,F,D,Misc,F,
'110-215.40,Tampering with physical evidence,M,A,Misc,T,
'10-131(I)(3),Unlawul to possess amunition for a weapon you are not authorized to possess,M,NA,Weapons,F,
'263.16,Possessing a sexual performance by a child,F,E,Sex Offense,F,
'215.55,Bail jumping in the third degree,M,A,Misc,F,
'1192(4)-A,Driving while ability impaired by the combined influence of drugs,,,,,
"'or of alcohol and any drug or drugs""",NA,NA,Vehicle,F,,
'200.03,Bribery in the second degree,F,C,Misc,F,
'130.40,Criminal sexual act in the third degree,F,E,Sex Offense,F,
'135.05,Unlawful imprisonment in the second degree,M,A,Misc,F,
'509(1),"	Unlicensed operator of a motor vehicle",V,NA,Vehicle,F,
'110-150.10,Arson in the third degree,F,D,Misc,T,
'265.08,Criminal use of a firearm in the second degree,F,C,Weapons,F,
'125.26,Aggravated Murder,F,A-I,Violent,F,
'205.25,Promoting prison contraband in the first degree,F,D,Misc,F,
'VTL 666.66,NA,NA,NA,Vehicle,F,
'110-120.08,"Assault on a peace officer, police officer, fireman or EMS professional",F,D,Violent,T,
'230.30,Promoting prostitution in the second degree,F,C,Sex Offense,F,
'110-130.75,Course of sexual conduct against a child in the first degree,F,C,Sex Offense,T,
'221.25,Criminal possession of marihuana in the third degree,F,D,Narcotics,F,
'AC 777.77,NA,NA,NA,Misc,F,
'SCW,NA,NA,NA,Misc,F,
'110-130.45,Criminal sexual act in the second degree,F,E,Sex Offense,T,
'140.30SM,Burglary in the first degree,F,B,Property,F,
'110-250.45,Unlawful surveillance in the second degree,M,A,Misc,T,
